Designator,Mid X,Mid Y,Rotation,Layer
C1,118.0,-131.35,0.0,top
C10,130.7375,-60.05,0.0,top
C11,107.9125,-71.85,0.0,top
C12,107.9125,-91.85,0.0,top
C13,130.7375,-80.05,0.0,top
C14,147.9125,-91.85,0.0,top
C15,170.7375,-80.05,0.0,top
C16,187.9125,-91.85,0.0,top
C17,107.9125,-111.85,0.0,top
C18,130.7375,-100.05,0.0,top
C19,147.9125,-111.85,0.0,top
C2,118.0,-141.35,0.0,top
C20,170.7375,-100.05,0.0,top
C21,187.9125,-111.85,0.0,top
C22,107.9125,-131.85,0.0,top
C23,130.7375,-120.05,0.0,top
C24,147.9125,-131.85,0.0,top
C25,170.7375,-120.05,0.0,top
C26,187.9125,-131.85,0.0,top
C27,107.9125,-151.85,0.0,top
C28,130.7375,-140.05,0.0,top
C29,147.9125,-151.85,0.0,top
C3,138.0,-136.2,0.0,top
C30,170.7375,-140.05,0.0,top
C31,187.9125,-151.85,0.0,top
C4,157.95,-136.25,0.0,top
C5,178.0,-131.35,0.0,top
C6,178.0,-141.35,0.0,top
C7,187.9125,-71.85,0.0,top
C8,170.7375,-60.05,0.0,top
C9,147.9125,-71.85,0.0,top
CN1,147.7,-142.2,180.0,top
FPC1,188.2,-146.0975,180.0,top
H1,103.0,-61.0,0.0,top
H2,193.0,-61.0,0.0,top
H3,117.0,-151.0,0.0,top
H4,159.0,-151.0,0.0,top
R1,190.4,-151.4,90.0,top
R2,191.4,-151.4,90.0,top
R3,192.6475,-149.3,180.0,top
R4,179.15,-155.05,0.0,top
R5,179.15,-149.55,0.0,top
U1,151.1,-105.999998,0.0,bottom
